Blocksize: 50000	= 3.47475120000000000000
Blocksize: 60000	= 3.22541820000000000000
Blocksize: 70000	= 3.12107590000000000000
Blocksize: 80000	= 3.09273140000000000000
Blocksize: 90000	= 3.04731150000000000000
Blocksize: 100000	= 2.99027610000000000000
Blocksize: 110000	= 2.94606450000000000000
Blocksize: 120000	= 2.90939780000000000000
Blocksize: 130000	= 2.88946950000000000000
Blocksize: 140000	= 2.86933210000000000000
Blocksize: 150000	= 2.85281250000000000000
Blocksize: 160000	= 2.82786220000000000000
Blocksize: 170000	= 2.82671140000000000000
Blocksize: 180000	= 2.77543120000000000000
Blocksize: 190000	= 2.78764160000000000000
Blocksize: 200000	= 2.78939460000000000000
Blocksize: 210000	= 2.76213510000000000000
Blocksize: 220000	= 2.76476590000000000000
Blocksize: 230000	= 2.76376850000000000000
Blocksize: 240000	= 2.74783080000000000000
Blocksize: 250000	= 2.74548340000000000000
Blocksize: 260000	= 2.74204000000000000000
Blocksize: 270000	= 2.74810820000000000000
Blocksize: 280000	= 2.73575600000000000000
Blocksize: 290000	= 2.74063170000000000000
Blocksize: 300000	= 2.74935370000000000000
Blocksize: 310000	= 2.74208670000000000000
Blocksize: 320000	= 2.74559200000000000000
Blocksize: 330000	= 2.76751190000000000000
Blocksize: 340000	= 2.74764130000000000000
Blocksize: 350000	= 2.73269650000000000000
Blocksize: 360000	= 2.74040030000000000000
Blocksize: 370000	= 2.74841240000000000000
Blocksize: 380000	= 2.76054040000000000000
Blocksize: 390000	= 2.76875620000000000000
Blocksize: 400000	= 2.76521600000000000000
Blocksize: 410000	= 2.73971690000000000000
Blocksize: 420000	= 2.76422220000000000000
Blocksize: 430000	= 2.76590080000000000000
Blocksize: 440000	= 2.77271650000000000000
Blocksize: 450000	= 2.76576020000000000000
Blocksize: 460000	= 2.78645740000000000000
Blocksize: 470000	= 2.80405910000000000000
Blocksize: 480000	= 2.79409520000000000000
Blocksize: 490000	= 2.80411880000000000000
Blocksize: 500000	= 2.81279970000000000000
